ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
15659,simple,204846,"SUMAKE AIR IMPACT WRENCH 1/2"" ST-5540",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"PNEMATIC POWER TOOLS, SUMAKE",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/204846_SUMAKE-AIR-IMPACT-WRENCH-ST-5540-1.jpeg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/204846_SUMAKE-AIR-IMPACT-WRENCH-ST-5540-1.jpeg",,,,,,,,,0,UOM,NOS,1,1,BRAND,SUMAKE,1,1
15660,simple,209752,"M7 AIR IMPACT WRENCH  1/2"" NC-4210",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"M7, PNEMATIC POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/209752_M7-AIR-IMPACT-WRENCH-NC-4210-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/209752_M7-AIR-IMPACT-WRENCH-NC-4210-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,M7,1,1
15661,simple,209751,"M7 AIR IMPACT WRENCH  3/4"" NC-6113",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"M7, PNEMATIC POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/209751_M7-AIR-IMPACT-WRENCH-NC-6113-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/209751_M7-AIR-IMPACT-WRENCH-NC-6113-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,M7,1,1
15662,simple,205445,"KARBOSAN ALUMINIUM CUTTING DISC 4-1/2"" X 1 MM",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"ABBRASIVES, KARBOSAN",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/205445_KARBOSAN-ALUMINIUM-CUTTING-DISC.png, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/205445_KARBOSAN-ALUMINIUM-CUTTING-DISC.png",,,,,,,,,0,UOM,NOS,1,1,BRAND,KARBOSAN,1,1
15663,simple,211996,"GARRYSON ALUMINIUM FLAP DISC 4-1/2"" 60 GR",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"ABBRASIVES, GARRYSON",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/211996_GARRYSON-ALUMINIUM-FLAP-DISC-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/211996_GARRYSON-ALUMINIUM-FLAP-DISC-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,GARRYSON,1,1
15664,simple,203483,"GARRYSON ALUMINIUM FLAP DISC 4-1/2"" X 80 GR",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"ABBRASIVES, GARRYSON",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/203483_GARRYSON-ALUMINIUM-FLAP-DISC-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/203483_GARRYSON-ALUMINIUM-FLAP-DISC-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,GARRYSON,1,1
15665,simple,206400,ALUMINIUM LADDER A TYPE 5 STEP,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"AL-ZAMIL SAUDI, LADDER",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/206400_ALUMINIUM-LADDER-5-STEP-1.jpeg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/206400_ALUMINIUM-LADDER-5-STEP-1.jpeg",,,,,,,,,0,UOM,NOS,1,1,BRAND,AL-ZAMIL SAUDI,1,1
15666,simple,206429,GAZELLE ANEMOMETER 0-45 G9407,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"GAZELLE, LADDER",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/206429_GAZELLE-ANEMOMETER-G9407-2.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/206429_GAZELLE-ANEMOMETER-G9407-1-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/206429_GAZELLE-ANEMOMETER-G9407-2.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,GAZELLE,1,1
15667,simple,199189,"ANGLE BRUSH 1-1/2""",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"CHINA, PAINTING",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/199189_ANGLE-BRUSH-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/199189_ANGLE-BRUSH-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,CHINA,1,1
15668,simple,198791,"ANGLE BRUSH 1-1/2""",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"CHINA, PAINTING",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/198791_ANGLE-BRUSH-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/198791_ANGLE-BRUSH-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,CHINA,1,1
15669,simple,199190,"ANGLE BRUSH 2-1/2""",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"CHINA, PAINTING",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/199190_ANGLE-BRUSH.png, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/199190_ANGLE-BRUSH.png",,,,,,,,,0,UOM,NOS,1,1,BRAND,CHINA,1,1
15670,simple,206062,DEWALT ANGLE GRINDER  125MM DWE-4234-B5,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"DEWALT, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/206062_DEWALT-ANGLE-GRINDER-4234-B5-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/206062_DEWALT-ANGLE-GRINDER-4234-B5-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,DEWALT,1,1
15671,simple,210880,"DEWALT ANGLE GRINDER  4 1/2"" DWE-4010",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"DEWALT, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/210880_DEWALT-ANGLE-GRINDER-DWE-4010-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/210880_DEWALT-ANGLE-GRINDER-DWE-4010-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,DEWALT,1,1
15672,simple,201857,"DEWALT ANGLE GRINDER  4"" DWE-4010",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"DEWALT, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/201857_DEWALT-ANGLE-GRINDER-DWE-4010-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/201857_DEWALT-ANGLE-GRINDER-DWE-4010-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,DEWALT,1,1
15673,simple,200892,"DEWALT ANGLE GRINDER  4-1/2"" DWE-4120",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"DEWALT, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/200892_DEWALT-ANGLE-GRINDER-DWE-4120-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/200892_DEWALT-ANGLE-GRINDER-DWE-4120-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,DEWALT,1,1
15674,simple,202043,"DEWALT ANGLE GRINDER  4-1/2"" DWE-4120 110V",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"DEWALT, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/202043_DEWALT-ANGLE-GRINDER-DWE-4120-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/202043_DEWALT-ANGLE-GRINDER-DWE-4120-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,DEWALT,1,1
15675,simple,207835,"DEWALT ANGLE GRINDER  4-1/2"" DWE-4120 220V",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"DEWALT, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/207835_DEWALT-ANGLE-GRINDER-DWE-4120-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/207835_DEWALT-ANGLE-GRINDER-DWE-4120-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,DEWALT,1,1
15676,simple,200893,"DEWALT ANGLE GRINDER  4-1/2"" TOGGLE SWITCH",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"DEWALT, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/200893_DEWALT-ANGLE-GRINDER-TOGGLE-SWITCH.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/200893_DEWALT-ANGLE-GRINDER-TOGGLE-SWITCH.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,DEWALT,1,1
15677,simple,204455,"DEWALT ANGLE GRINDER  4-1/2"" DWE-4002",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"DEWALT, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/204455_DEWALT-ANGLE-GRINDER-DWE-4002-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/204455_DEWALT-ANGLE-GRINDER-DWE-4002-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,DEWALT,1,1
15678,simple,203032,"DEWALT ANGLE GRINDER  5"" DWE4234-B4",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"DEWALT, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/203032_DEWALT-ANGLE-GRINDER-DWE-4234-B4-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/203032_DEWALT-ANGLE-GRINDER-DWE-4234-B4-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,DEWALT,1,1
15679,simple,214323,"DEWALT ANGLE GRINDER  5"" DWE4234-B5",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"DEWALT, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/214323_DEWALT-ANGLE-GRINDER-DWE-4234-B5-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/214323_DEWALT-ANGLE-GRINDER-DWE-4234-B5-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,DEWALT,1,1
15680,simple,208237,"METABO ANGLE GRINDER  4-1/2"" MTB-601232010",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"METABO, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/208237_METABO-ANGLE-GRINDER-MTB-601232010-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/208237_METABO-ANGLE-GRINDER-MTB-601232010-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,METABO,1,1
15681,simple,209463,"METABO ANGLE GRINDER  4-1/2"" MTB-603607010",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"METABO, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/209463_METABO-ANGLE-GRINDER-MTB-603607010-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/209463_METABO-ANGLE-GRINDER-MTB-603607010-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,METABO,1,1
15682,simple,210504,"METABO ANGLE GRINDER  4-1/2"" MTB-603613010",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"METABO, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/210504_METABO-ANGLE-GRINDER-MTB-603613010-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/210504_METABO-ANGLE-GRINDER-MTB-603613010-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,METABO,1,1
15683,simple,208238,"METABO ANGLE GRINDER  9"" MTB-606435010",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"METABO, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/208238_METABO-ANGLE-GRINDER-MTB-606435010-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/208238_METABO-ANGLE-GRINDER-MTB-606435010-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,METABO,1,1
15684,simple,209303,"HITACHI ANGLE GRINDER  4-1/2"" G12SN",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"HITACHI, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/209303_HITACHI-ANGLE-GRINDER-G12SN-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/209303_HITACHI-ANGLE-GRINDER-G12SN-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,HITACHI,1,1
15685,simple,208179,"BOSCH ANGLE GRINDER  4"" GWS-750",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"BOSCH, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/208179_BOSCH-ANGLE-GRINDER-GWS-750-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/208179_BOSCH-ANGLE-GRINDER-GWS-750-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,BOSCH,1,1
15686,simple,211978,"BOSCH ANGLE GRINDER  4-1/2"" GWS9-115",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"BOSCH, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/211978_BOSCH-ANGLE-GRINDER-GWS9-3.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/211978_BOSCH-ANGLE-GRINDER-GWS9-3.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/211978_BOSCH-ANGLE-GRINDER-GWS9-2-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/211978_BOSCH-ANGLE-GRINDER-GWS9-1-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,BOSCH,1,1
15687,simple,212349,"BOSCH ANGLE GRINDER  4-1/2"" GWS750-115",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"BOSCH, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212349_BOSCH-ANGLE-GRINDER-GWS750-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212349_BOSCH-ANGLE-GRINDER-GWS750-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,BOSCH,1,1
15688,simple,212346,"BOSCH ANGLE GRINDER  9"" GWS2000-230",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"BOSCH, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212346_BOSCH-ANGLE-GRINDER-GWS2000-230-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212346_BOSCH-ANGLE-GRINDER-GWS2000-230-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,BOSCH,1,1
15689,simple,203783,"BOSCH ANGLE GRINDER  4-1/2"" 9-115 900W",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"BOSCH, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/203783_BOSCH-ANGLE-GRINDER-9-115-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/203783_BOSCH-ANGLE-GRINDER-9-115-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,BOSCH,1,1
15690,simple,199960,"MAKITA ANGLE GRINDER  4-1/2"" 9557HNG",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"MAKITA, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/199960_MAKITA-ANGLE-GRINDER-9557HNG-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/199960_MAKITA-ANGLE-GRINDER-9557HNG-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,MAKITA,1,1
15691,simple,212655,"MAKITA ANGLE GRINDER  4-1/2"" 9564PZ",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"MAKITA, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212655_MAKITA-ANGLE-GRINDER-9564PZ-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212655_MAKITA-ANGLE-GRINDER-9564PZ-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,MAKITA,1,1
15692,simple,212320,"STANLEY ANGLE GRINDER  4-1/2"" 710W",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"POWER TOOLS, STANLEY",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212320_STANLEY-ANGLE-GRINDER-710W-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212320_STANLEY-ANGLE-GRINDER-710W-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,STANLEY,1,1
15693,simple,212279,"IDEAL ANGLE GRINDER  4"" ID-G10SS",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"IDEAL, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212279_IDEAL-ANGLE-GRINDER-ID-G10SS-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212279_IDEAL-ANGLE-GRINDER-ID-G10SS-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,IDEAL,1,1
15694,simple,212280,"IDEAL ANGLE GRINDER  4-1/2"" IDAG-115DC",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"IDEAL, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212280_IDEAL-ANGLE-GRINDER-IDAG-1.png, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212280_IDEAL-ANGLE-GRINDER-IDAG-1.png",,,,,,,,,0,UOM,NOS,1,1,BRAND,IDEAL,1,1
15695,simple,212254,MAKITA ARMATURE ASSY FOR 4340CT/FCT 517398-3,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"MAKITA, POWER TOOLS SPARE PARTS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212254_ARMATURE-ASSY-FOR-4340CT-MAKITA-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212254_ARMATURE-ASSY-FOR-4340CT-MAKITA-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,MAKITA,1,1
15696,simple,209308,MAKITA ARMATURE FOR BO-4510,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"BOSCH, POWER TOOLS SPARE PARTS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/209308_MAKITA-ARMATURE-BO-4510-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/209308_MAKITA-ARMATURE-BO-4510-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,BOSCH,1,1
15697,simple,212007,BOSCH ARMATURE FOR GBH 2-24H,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"BOSCH, POWER TOOLS SPARE PARTS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212007_BOSCH-ARMATURE-GBH-2-24H.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/212007_BOSCH-ARMATURE-GBH-2-24H.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,BOSCH,1,1
15698,simple,207576,HITACHI ARMATURE FOR GRINDER G12S2 360-497E,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"HITACHI, POWER TOOLS SPARE PARTS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/207576_HITACHI-ARMATURE-G12S2-360-497E.png, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/207576_HITACHI-ARMATURE-G12S2-360-497E.png",,,,,,,,,0,UOM,NOS,1,1,BRAND,HITACHI,1,1
15699,simple,211637,BOSCH ARMATURE FOR GWS-115 GERMAN,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"BOSCH, POWER TOOLS SPARE PARTS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/211637_BOSCH-ARMATURE-GWS-115-GERMAN-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/211637_BOSCH-ARMATURE-GWS-115-GERMAN-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,BOSCH,1,1
